Accessed on Sun Sep 11 2016 04:43:17 GMT-0700 (PDT)
 
×

1395 Owners Of As Big as Mountains
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Skutes Tenaw	B	2×	93/96	  GET
 Victoria Roden	B	2×	84/96	  GET
 Justin Mezzell	F	3×	96/96	  GET
 Damien	A+	2×	96/96	  GET
 Get Me Quickly	A+	2×	95/96	  GET
 Stephanie Liu	A-	5×	96/96	  GET
 Joao Pinheiro	F	2×	70/96	  GET
 Jorian Grey	B	2×	7/96	  GET
 Winterywoo	C-	2×	7/96	  GET
 Khara Baughan	D+	3×	96/96	  GET
 Jelanithompson	B	5×	96/96	  GET
 David Poulton	A+	2×	96/96	  GET
 Animund	F	2×	78/96	  GET
 Becky Whitelaw	C	4×	96/96	  GET
 Ryan Blair	F	2×	96/96	  GET
 Adelino Henriques	F	2×	64/96	  GET
 alunia6191	A+	7×	96/96	  GET
 Julie Tran	C+	4×	91/96	  GET
 Ajax Boyle	D	3×	86/96	  GET
 Henry Brennan	A+	4×	90/96	  GET
 Chris Williams	A+	8×	96/96	  GET
 Janegatsby	A+	7×	96/96	  GET
 Vanessa Patata	F	3×	92/96	  GET
 Zozee	D	8×	96/96	  GET
 Ksenia Os	D-	3×	96/96	  GET
 Lindsey Trella	C-	4×	96/96	  GET
 Alexia Aponte	F	2×	88/96	  GET
 Cathrine Bulgakova	C+	2×	46/96	  GET
 Alice	D	2×	90/96	  GET
 Ryan Reid	F	2×	62/96	  GET
 Kelly Ryder	A-	3×	86/96	  GET
 Morexette	F+	2×	85/96	  GET
 David Allen	A+	3×	96/96	  GET
 Yiling Changues	D+	2×	96/96	  GET
 Doppelgänger	D	2×	59/96	  GET
 Rutgersbaby	D+	3×	96/96	  GET
 Julio Gómez García	A+	2×	96/96	  GET
 Natalie56	D-	4×	96/96	  GET
 Maike Vierkant	F	7×	96/96	  GET
 Autumn Davis	F	2×	93/96	  GET
 Fryingpansam93	A+	2×	96/96	  GET
 Samuel Kraft	A	4×	96/96	  GET
 Sergio Pinho	F	2×	96/96	  GET
 Josh Kendall	A+	2×	96/96	  GET
 Bella Santana	A+	3×	64/96	  GET
 Matthew Allen	A+	3×	96/96	  GET
 Rasterstache	A+	2×	89/96	  GET
 Matt Ginn	A	3×	95/96	  GET
 Jenna Goebel	A+	3×	94/96	  GET
 Patrick Brodie	F	2×	88/96	  GET
 Jimmy Lee	F	4×	73/96	  GET
 Paul Patricio	C-	4×	79/96	  GET
 Babi Peixoto	F	2×	76/96	  GET
 athena wong	B-	2×	92/96	  GET
 Magda Dams	A+	3×	96/96	  GET
 James Fox Robinson	A+	2×	96/96	  GET
 Gene Kwatny	A+	3×	96/96	  GET
 Thiago Torres	A	5×	96/96	  GET
 Travis Galloway	D+	3×	96/96	  GET
 Andreanna Kostantas-Ducceschi	B+	4×	96/96	  GET
 Elaine.maciel.silva	F+	2×	23/96	  GET
 Jayson Marquez	D-	3×	96/96	  GET
 Julie Nisbet	A	4×	96/96	  GET
 Candoh	A+	2×	96/96	  GET
 Stephanie Colon	F	2×	96/96	  GET
 Matthew Tso	A+	2×	96/96	  GET
 Milleni Tracheva	F+	4×	83/96	  GET
 _Amber_	F	1×	29/96	  GET
 Rudolf Dizon	A+	1×	3/96	  GET
 Rebecca Erickson	A+	1×	75/96	  GET
 Abbie V.	A+	1×	76/96	  GET
 Mxyzptlk	B+	1×	29/96	  GET
 Barkerposey	F+	1×	84/96	  GET
 Bethflynn55	D+	1×	1/96	  GET
 Mille Heidi	F+	1×	96/96	  GET
 Casperhunter	F	1×	20/96	  GET
 Cataphract	D	1×	78/96	  GET
 Emily Kittelson	A+	1×	96/96	  GET
 Raven2902	C-	1×	24/96	  GET
 Céleste M.	C	1×	2/96	  GET
 Alexander Dekker	A+	1×	86/96	  GET
 Shaniah Mcshine	C	1×	4/96	  GET
 Martoko	A-	1×	56/96	  GET
 Isaac Keyet	F	1×	94/96	  GET
 Herbalassailant	C+	1×	75/96	  GET
 Onetake	A+	1×	96/96	  GET
 Samson Kittens	F	1×	61/96	  GET
 Oscar Falcón Lara	A+	1×	79/96	  GET
 Alexander Demyanenko	A+	1×	96/96	  GET
 Georgie	D+	1×	17/96	  GET
 Edgar Diaz	A+	1×	92/96	  GET
 Eleni Panayiotou	A+	1×	77/96	  GET
 2valeria5um8	D	1×	19/96	  GET
 IMar Milo	D	1×	9/96	  GET
 Kefl	D-	1×	69/96	  GET
 Tad Fry	A+	1×	3/96	  GET
 Matt Rock	A	1×	94/96	  GET
 Ramil Jalampangan	C	1×	10/96	  GET
 BeautifulLove	F	1×	77/96	  GET
 Nico Hart	A+	1×	58/96	  GET
 Ariel Leopard	B	1×	83/96	  GET
 Jelleke	B+	1×	88/96	  GET
 Mrkr Trn	A+	1×	96/96	  GET
 Juliet Lauser	A+	1×	96/96	  GET
 Catherine De la Sablonnière	D+	1×	75/96	  GET
 Chloe Baxter	A+	1×	89/96	  GET
 A'nisah	D	1×	28/96	  GET
 Ben Jordan	B+	1×	13/96	  GET
 Kostas Anatolitis	A+	1×	91/96	  GET
 Rukhu Roo	F+	1×	38/96	  GET
 Nora	A	1×	21/96	  GET
 Gina Mallonee	C+	1×	79/96	  GET
 Jelina	C	1×	11/96	  GET
 Megan Bishop	F	1×	55/96	  GET
 lemonpassion	D+	1×	7/96	  GET
 Cobrah Commander	F	1×	13/96	  GET
 Haylee Moran	A+	1×	70/96	  GET
 Irma	B-	1×	3/96	  GET
 Karyn	C-	1×	46/96	  GET
 Jovana Markovic	A+	1×	91/96	  GET
 melina carada	C-	1×	57/96	  GET
 carol	B-	1×	43/96	  GET
 Ena Bautista	D	1×	33/96	  GET
 stanley baker	A	1×	34/96	  GET
 Dinah Griego	A+	1×	90/96	  GET
 RedCrow	A+	1×	7/96	  GET
 Jose Martinez	A+	1×	80/96	  GET
 Bobo Nana	F	1×	64/96	  GET
 Chris Messina	B-	1×	95/96	  GET
 Steph	C+	1×	57/96	  GET
 Camille Roque	C-	1×	82/96	  GET
 Stesy134	D-	1×	79/96	  GET
 Lucas Souza	A-	1×	85/96	  GET
 Rita Carvalho	D-	1×	11/96	  GET
 Sarah Austin	D+	1×	87/96	  GET
 Matiza	F	1×	59/96	  GET
 Jnarose	C	1×	10/96	  GET
 Bogdan Trachev	A+	1×	96/96	  GET
 Ider Guerrero	F+	1×	21/96	  GET
 Kylie Simpson	F	1×	51/96	  GET
 Mtfc1029	C-	1×	56/96	  GET
 Kewfest	A+	1×	96/96	  GET
 Mikhaila	D+	1×	62/96	  GET
 Kirsten	C	1×	79/96	  GET
 Suzie C	A+	1×	96/96	  GET
 Cedar Herron	C-	1×	57/96	  GET
 Mary Egbula	C-	1×	5/96	  GET
 Jg21	D-	1×	17/96	  GET
 Pochielove	C	1×	9/96	  GET
 Nat Lewis	D+	1×	85/96	  GET
 eleni pap	F	1×	54/96	  GET
 Ryan Caronongan	C-	1×	15/96	  GET
 Rachel Kwak	C	1×	7/96	  GET
 Rose Knox	B-	1×	60/96	  GET
 Justin Loh	C-	1×	10/96	  GET
 Maxi Mattos	C	1×	6/96	  GET
 Carrie Dixon	D+	1×	14/96	  GET
 Polzert Tan	D	1×	29/96	  GET
 Candida Winkler	B+	1×	93/96	  GET
 Leiajanecuizon2015	F	1×	9/96	  GET
 Beatlesrock	C	1×	8/96	  GET
 Monitor	A-	1×	96/96	  GET
 Yura Fedorchenko	B	1×	7/96	  GET
 Abby	A+	1×	45/96	  GET
