Accessed on Sun Sep 11 2016 01:46:06 GMT-0700 (PDT)
 
×

629 Owners Of Porphyrion
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"TITAN WAR CYBER"
COMPLETION
 Bee	C-	1×	2/25	  GET
 Colin P	A+	1×	22/25	  GET
 Jazzy	A+	1×	18/25	  GET
 Alejandro Serrano	A+	1×	15/25	  GET
 Wayne Carlson	B+	1×	12/25	  GET
 RageMove GameOver-QC	A+	1×	10/25	  GET
 Trevor Lunney	A+	1×	9/25	  GET
 Lilyat221b	A	1×	10/25	  GET
 Maxwell Dickinson	A+	1×	7/25	  GET
 Razvanlothar	B	1×	14/25	  GET
 Yezi	A+	1×	12/25	  GET
 Matthew	F	1×	3/25	  GET
 Neonmobster_16724	A+	1×	15/25	  GET
 Leandro Andre	A+	1×	17/25	  GET
 Eather	A+	1×	11/25	  GET
 Shellgames25	A+	1×	15/25	  GET
 Akeli	C	1×	10/25	  GET
 Julie	A+	1×	11/25	  GET
 Cassandra Sobek	A+	1×	2/25	  GET
 Derpwizard	C-	1×	10/25	  GET
 Infamous_shadow8452	A+	1×	16/25	  GET
 Sev7n	F	1×	12/25	  GET
 Kai	B	1×	2/25	  GET
 Lonepaladin67	C	1×	14/25	  GET
 Neonmobster_17587	A+	1×	13/25	  GET
 Gugududu07	B	1×	6/25	  GET
 Dave Wilhelm	A+	1×	20/25	  GET
 Ivett Jimenez	A+	1×	12/25	  GET
 Jens Hviid	A+	1×	4/25	  GET
 xephia	B	1×	11/25	  GET
 Nick Barrett	A+	1×	2/25	  GET
 Alexandru Ciuciulin	C	1×	9/25	  GET
 Brian Robison	A-	1×	9/25	  GET
 Christopher Ward	A+	1×	17/25	  GET
 Wagglord	A	1×	12/25	  GET
 Leslie Guevara	A	1×	6/25	  GET
 slyff	A+	1×	13/25	  GET
 (The) Magic Biologist	A+	1×	12/25	  GET
 Neonmobster_19561	A+	1×	9/25	  GET
 Varian	A+	1×	6/25	  GET
 Hideonblade	B	1×	21/25	  GET
 Charles Hurtt	A+	1×	20/25	  GET
 Adrian Gison	A+	1×	2/25	  GET
 Verywarrior011	A+	1×	15/25	  GET
 Josiah Fortney	B-	1×	13/25	  GET
 Huntakilla	A+	1×	21/25	  GET
 Javier Estevez	A+	1×	3/25	  GET
 Tridus	A+	1×	18/25	  GET
 Chng Joe Hui	A+	1×	8/25	  GET
 r00t	A+	1×	17/25	  GET
 kirby31974	A+	1×	11/25	  GET
 Drkjedeyes	A+	1×	13/25	  GET
 Marc Hatton	A	1×	17/25	  GET
 Sifort2012	A	1×	12/25	  GET
 Kara Redwing	A+	1×	15/25	  GET
 Shatterstar	C+	1×	23/25	  GET
 Eric Walker	A+	1×	8/25	  GET
 Paola Fernandes	A+	1×	4/25	  GET
 Kevin Taylor	A	1×	4/25	  GET
 Neonmobster_13781	B+	1×	5/25	  GET
 Magnaprawn	D+	1×	9/25	  GET
 Vibrant_chaos	A	1×	6/25	  GET
 Neonmobster_15731	A+	1×	15/25	  GET
 Skarlett Wilson	A+	1×	12/25	  GET
 Jeremy	A+	1×	5/25	  GET
 Theseniorreiche	D	1×	13/25	  GET
 Kyle	A+	1×	10/25	  GET
 Hudson	B	1×	4/25	  GET
 Josh Ku	A+	1×	18/25	  GET
 pong0814	A+	1×	14/25	  GET
 Amy Reesor	A+	1×	22/25	  GET
 Dracken	A+	1×	12/25	  GET
 Pinano	A+	1×	17/25	  GET
 Raevyn	A	1×	14/25	  GET
 Alea May	C+	1×	8/25	  GET
 Dpklingler	A+	1×	14/25	  GET
 Shana Strife	C	1×	14/25	  GET
 Apollo00063	A+	1×	18/25	  GET
 Brains	A	1×	24/25	  GET
 Orlando City SC Fan	A+	1×	18/25	  GET
 g pig	A+	1×	15/25	  GET
 Karla Alice Renée	A+	1×	2/25	  GET
 Diane	A+	1×	25/25	  GET
 Diana805	A	1×	18/25	  GET
 Luciferhart	B	1×	11/25	  GET
 Shadai	C	1×	2/25	  GET
 Fran Shay	B+	1×	5/25	  GET
 Lucamber0821	B	1×	11/25	  GET
 Mr.lag	A	1×	21/25	  GET
 Aware	A-	1×	16/25	  GET
 Nicolas Rewardi	A-	1×	17/25	  GET
 Simplicity	A+	1×	14/25	  GET
 Netinhowdattebayow	B+	1×	17/25	  GET
 SpaceBatman	B	1×	10/25	  GET
 Michael Hunter	A+	1×	18/25	  GET
 That_one_guy111	B	1×	10/25	  GET
 Harthi	A+	1×	17/25	  GET
 Dillondreams	B-	1×	7/25	  GET
 Wagglord	B+	1×	6/25	  GET
 Tate James	A	1×	13/25	  GET
 Pointgold	C	1×	2/25	  GET
 Desdinova	A+	1×	16/25	  GET
 Psylar0	A-	1×	16/25	  GET
 Richard	A+	1×	20/25	  GET
 Jarrett Rhodes	A	1×	18/25	  GET
 Dhodg187	A+	1×	10/25	  GET
 R5d4	A+	1×	19/25	  GET
 The_Blazing_Prince	A+	1×	19/25	  GET
 Neonmobster_978	A+	1×	21/25	  GET
 Sahlinvincent	B+	1×	6/25	  GET
 Mimicaela	A-	1×	18/25	  GET
 Laurenelizabeth	A+	1×	10/25	  GET
 Lokistark	A	1×	7/25	  GET
 Hazel Fahrezi	B	1×	9/25	  GET
 Trinity Bailey	C+	1×	7/25	  GET
 Axelfox1982	A+	1×	18/25	  GET
 Joan Collette	A+	1×	12/25	  GET
 Morsmihi	A+	1×	15/25	  GET
 Akiane	A	1×	12/25	  GET
 Robin Jones	A+	1×	2/25	  GET
 Owen.briant	A	1×	13/25	  GET
 Zeus Longcop	D+	1×	6/25	  GET
 battleofahero	A+	1×	4/25	  GET
 Marshmallowgod	C	1×	8/25	  GET
 Cboy0512	C-	1×	18/25	  GET
 Emily Kittelson	A+	1×	8/25	  GET
 Zac Parsons	A	1×	17/25	  GET
 Keevan O'Leary	A-	1×	5/25	  GET
 Keyitu	B+	1×	21/25	  GET
 roscoben	D-	1×	6/25	  GET
 Dennis Perlstein	A+	1×	19/25	  GET
 Neonmobster_18890	B-	1×	9/25	  GET
 Mistak3	C-	1×	17/25	  GET
 Veronicafalls	A+	1×	2/25	  GET
 Espiritudragonae	A+	1×	16/25	  GET
 Tink	A-	1×	5/25	  GET
 Cydragon	A+	1×	21/25	  GET
 Donavin Harris	B-	1×	6/25	  GET
 NeOnMoBsTeR MaTt	B	1×	18/25	  GET
 DoctorFluffy	A+	1×	14/25	  GET
 KyloRenKnight	A+	1×	13/25	  GET
 zodalx	A+	1×	5/25	  GET
 Ritz Altairis	A+	1×	6/25	  GET
 Pwzysk	A+	1×	19/25	  GET
 Dains	A+	1×	4/25	  GET
 Day Five RT	A+	1×	13/25	  GET
 Bill	A+	1×	17/25	  GET
 Vaderspittbull	A	1×	10/25	  GET
 Kholek99	B+	1×	10/25	  GET
 Sean ONeill	A+	1×	13/25	  GET
 kostasthedragon	A-	1×	16/25	  GET
 Haylee Moran	A+	1×	13/25	  GET
